Date,Sales,Order Profit Per Order,Order Item Discount,Order Item Total
2015-01-01,32806.09068969,4433.480024824,3426.400004188,29379.70039794
2015-01-02,29818.2105754,1292.8499757159998,3016.359998792,26801.90024221
2015-01-03,36348.71064799,5366.600017398,3489.449986779,32859.30034066
2015-01-04,35738.970669141,5630.989988706,3869.510000193,31869.500330073
2015-01-05,31067.91060268,3088.100045796,3534.920024937,27533.05021462
2015-01-06,33395.7105771,723.9700580119999,3320.590005566,30075.16036253
2015-01-07,32923.22068822,3927.0600387189997,2989.839998752,29933.4104233
2015-01-08,37590.17087039,2834.600010112,3718.580007559,33871.65046734
2015-01-09,26004.93051718,3706.440001816,2596.480007709,23408.53022382
2015-01-10,37053.860758329996,4295.9299864390005,3535.109991682,33518.78044539
2015-01-11,34164.16064509,4367.739942405,3266.8700034,30897.31033718
2015-01-12,41095.9106852,5355.489998099,4456.389998643,36639.57037979
2015-01-13,35891.89062765,2567.809976782,3523.1600095109998,32368.78031033
2015-01-14,30612.27051049,3205.669989203,3548.220004312,27064.11022775
2015-01-15,32878.95064001,3176.209951088,3194.820009104,29684.16038923
2015-01-16,32478.98063865,2992.8599718600003,3306.440003743,29172.60029619
2015-01-17,30329.26063763,3054.019969073,2819.480004619,27509.81032746
2015-01-18,34781.71068021,4573.930023922,3164.579996742,31617.150323589998
2015-01-19,33488.03065335,4788.660038896,3390.990005356,30097.09032296
2015-01-20,32802.99052066,3649.0100220990003,3378.410003319,29424.61032496
2015-01-21,38436.26073839,2056.9999973020003,4535.609999441,33900.76041437
2015-01-22,38525.42079003,3279.71000075,3746.720013923,34778.73037764
2015-01-23,34007.61064357,3729.410005878,3258.790004005,30748.87039764
2015-01-24,31529.08064654,1421.779970416,3124.290006933,28404.84032403
2015-01-25,32758.91063516,4360.779995904,2880.300005701,29878.65031845
2015-01-26,35029.14061573,4722.060017102,3569.510003958,31459.66031646
2015-01-27,34471.94066266,1479.1500415530002,3666.649995358,30805.34043332
2015-01-28,32660.28064749,4622.940029728,3558.520000911,29101.80026051
2015-01-29,32615.290586891,3562.740030762,3440.440009543,29174.90025818
2015-01-30,34770.170727101,5351.520001523,3447.870001393,31322.360367802
2015-01-31,35514.03066874,4042.230009862,3433.980002009,32080.0703787
2015-02-01,33479.75071748,4146.550043396,3196.790004267,30282.970416969998
2015-02-02,31396.61059809,4493.659988287,2899.430006327,28497.20033458
2015-02-03,33932.600653291,4098.089969374,3517.100006715,30415.550261723
2015-02-04,28906.28055239,5024.149984813,3370.909995293,25535.4302344
2015-02-05,32781.71065725,3305.330027404,3341.53999679,29440.22033673
2015-02-06,36093.73080082,4299.850050131,3463.630001501,32630.15040992
2015-02-07,34045.97066538,4142.219987817,3918.780012555,30127.23023399
2015-02-08,29839.82065423,3934.749995712,2891.699997292,26948.15030188
2015-02-09,32900.79062105,3406.289947135,3136.530004859,29764.29029478
2015-02-10,38439.75081091,44.13007748799987,3914.720016608,34525.09050596
2015-02-11,27310.85054986,3640.4699795359998,2482.760003394,24828.1202564
2015-02-12,26140.78053653,2660.409993946,2709.920000214,23430.89033316
2015-02-13,37157.10072573,2890.800001095,3875.829993145,33281.31035078
2015-02-14,27146.03057889,3125.830034724,2638.680003162,24507.36026211
2015-02-15,39126.13083103,3975.9800322359997,4326.980004828,34799.23043827
2015-02-16,34253.78059219,4046.650000212,3323.549998033,30930.28036494
2015-02-17,32234.44059598,3002.779986444,3307.270008561,28927.20030978
2015-02-18,33127.36061323,4158.290018715,3096.820000633,30030.57028446
2015-02-19,34261.7805941,3679.849991979,3765.270002866,30496.56028374
2015-02-20,31889.47057408,2279.640027749,3297.200003014,28592.31031427
2015-02-21,40896.36080773,5529.929994224,4346.710010827,36549.69042431
2015-02-22,30743.06056432,3379.819967761,3004.100003534,27739.03025168
2015-02-23,36422.04065955,4186.240040149,3541.369997968,32880.69039561
2015-02-24,33342.54065732,1943.7400303619997,3476.880011011,29865.68033797
2015-02-25,32779.59061089,3334.189990423,3236.710006388,29542.9303293
2015-02-26,34557.01066616,4380.950024629,3312.309995677,31244.73042705
2015-02-27,30001.25062006,3471.330020061,3059.240011081,26942.06033906
2015-02-28,33803.3006595,2558.739990079,3545.8400114759997,30257.5002193
2015-03-01,38229.09070392,4445.120019032,3958.14000225,34271.00042323
2015-03-02,36247.75071756,2281.57001145,3714.760001456,32533.05037905
2015-03-03,32555.210669289998,1749.000070684,3264.070006968,29291.15036246
2015-03-04,35756.750704289996,2084.959992074,3323.399996096,32433.42033013
2015-03-05,33807.90067876,5115.129994678,3737.6999961,30070.25030742
2015-03-06,32439.99061625,2297.4200097049998,3382.200012303,29057.810413619998
2015-03-07,35637.06064047,3758.150025423,3870.23000335,31766.89031595
2015-03-08,35435.65066004,3987.9100457659997,3531.559999739,31904.1303998
2015-03-09,34784.93063589,4351.829994929,3111.970014363,31673.01038224
2015-03-10,35258.16074235,3049.610021884,3079.95000686,32178.26042118
2015-03-11,27900.63056007,1917.809972221,3230.679991114,24669.96022204
2015-03-12,35738.51066053,3216.840072443,4288.959999228,31449.61034021
2015-03-13,32501.29078159,3095.38009089,3259.010006314,29242.31039103
2015-03-14,38546.29062338,4384.790000587,3763.330009988,34783.03028507
2015-03-15,29916.44060536,1587.3699857750003,3059.279998905,26857.18025573
2015-03-16,32193.47063858,4596.330013334,3059.550003146,29133.95029845
2015-03-17,33487.08066779,4457.520028386,3339.789999703,30147.34033861
2015-03-18,34408.88066909,4348.960025123,3685.199998425,30723.71039509
2015-03-19,36184.37063477,5182.800000785,3737.040007221,32447.39028577
2015-03-20,27545.650554981,-572.290028772,2766.830003048,24778.850307811
2015-03-21,33187.67060539,5886.310020992,3476.090009861,29711.64038866
2015-03-22,32983.79060957,4997.630008185,3206.769997581,29777.05032551
2015-03-23,29300.310585242,5882.000000533,2875.050012953,26425.300239392
2015-03-24,30518.19054829,4015.879962949,3131.160005531,27387.09032474
2015-03-25,30739.02057676,2255.589985414,3158.369995604,27580.67016187
2015-03-26,33583.65059854,2423.279990616,3261.740003162,30321.93030667
2015-03-27,31845.16057822,3872.71001857,3300.769998708,28544.4603233
2015-03-28,34281.86064935,5187.889939174,3972.929999513,30308.95026036
2015-03-29,38545.15079182,4630.920004939,3753.35000422,34791.85045072
2015-03-30,40222.95084417,4971.829929321,4371.580024372,35851.4104406
2015-03-31,37470.82078196,4317.959984037,3533.420004848,33937.45039564
2015-04-01,39081.450870951,3405.220012011,3960.489999945,35121.03043275
2015-04-02,32076.90060848,3775.5400118340003,3129.740005319,28947.20029287
2015-04-03,35598.5906431,2034.119994998,3162.410005186,32436.2303639
2015-04-04,32830.72066143,4844.360017795,3573.309991513,29257.44028567
2015-04-05,28456.02055573,2678.200002213,2738.530004606,25717.50030883
2015-04-06,30824.64060636,2979.120026411,3666.300011572,27158.36029069
2015-04-07,34286.35059761,1874.540009067,3505.949996532,30780.44033077
2015-04-08,33474.2907489,3800.179972598,3365.050002813,30109.29034083
2015-04-09,35859.01075622,3266.730021039,3393.320004527,32465.76041423
2015-04-10,39130.61078839,4373.570002495,4094.340010743,35036.32043441
2015-04-11,35615.61067621,3247.120000626,3199.100005382,32416.55029117
2015-04-12,35886.23067897,4666.829968151,3898.439996106,31987.83039082
2015-04-13,33262.85068347,4034.320012182,3645.780006675,29617.14046667
2015-04-14,35108.56064063,4572.969996939,3480.27000522,31628.33027102
2015-04-15,32041.85052892,4983.110020249,3026.069995611,29015.83021947
2015-04-16,35192.9506652,2441.510053128,3882.040008268,31310.93034784
2015-04-17,36885.98070373,4388.069964021,3822.100006221,33063.94028287
2015-04-18,28024.620598362,2996.089992671,2561.390001958,25463.270275745
2015-04-19,42683.34083442,2325.889983345,4033.489999368,38649.90058357
2015-04-20,33842.94067802,4495.840033653,3632.920001497,30210.05035094
2015-04-21,24780.2104839,842.9299917980001,2299.440003268,22480.79023727
2015-04-22,33944.12060589,3438.5599729279998,3680.980001831,30263.18027927
2015-04-23,29214.62050879,4899.269961706,3241.260004645,25973.41018148
2015-04-24,34321.97065979,5576.049991146,3535.299998106,30786.70036718
2015-04-25,31081.67058582,4192.570009148,2588.630003378,28493.11040351
2015-04-26,36087.66061239,3622.0600176119997,4400.150008128,31687.55027197
2015-04-27,32840.1807043,4239.729960594,3224.970003607,29615.27044574
2015-04-28,34399.330719339996,3394.900029566,2778.809996954,31620.54048137
2015-04-29,34452.93066042,4759.270000009,3147.070007497,31305.92035527
2015-04-30,33177.06075684,1935.009926696,3792.510008803,29384.58026318
2015-05-01,35425.40072442,3933.140017188,4137.789992366,31287.65038132
2015-05-02,34121.92058952,3998.299933917,3460.430009469,30661.53035754
2015-05-03,32271.22064206,3908.730028316,2874.760010124,29396.52026742
2015-05-04,33350.29061938,3591.1700076829998,3541.89999058,29808.41037763
2015-05-05,29233.94054978,3092.710008332,2413.089994122,26820.88026978
2015-05-06,31336.36065305,4669.3800057729995,3340.329999789,27996.08023042
2015-05-07,36981.52069685,1891.620035612,3880.130012864,33101.44032865
2015-05-08,33990.61058084,5543.830040324,3458.410010006,30532.23030321
2015-05-09,35200.10069281,3455.800017525,3317.860000813,31882.28038035
2015-05-10,26743.63039054,2962.779994592,2790.079991736,23953.59027501
2015-05-11,35627.43073686,1914.049960242,4127.789997491,31499.68026951
2015-05-12,29922.54058121,1822.549998294,2844.859998284,27077.74032996
2015-05-13,35730.12066278,3332.210052059,3723.930014077,32006.230304689998
2015-05-14,38607.32075682,2970.7299434829997,3981.930006029,34625.43037987
2015-05-15,31891.13055052,3809.359991424,2589.930000905,29301.230297
2015-05-16,29713.17053494,3082.390021768,2957.920002976,26755.30026453
2015-05-17,34767.81071126,4406.96002784,3880.580009067,30887.27032511
2015-05-18,37263.56068844,2871.820035245,3798.52999614,33465.05035993
2015-05-19,36669.85075237,3365.959954223,3669.230001993,33000.71037529
2015-05-20,32943.47070367,3665.700050282,3396.010007501,29547.49036802
2015-05-21,29816.01058012,2771.419995597,2554.920006097,27261.11025982
2015-05-22,32962.57056048,3746.299913073,3843.360005023,29119.2602098
2015-05-23,35028.99068454,4639.819985406,3379.909988188,31649.10029949
2015-05-24,32412.77060182,-213.07994464400002,3622.890004923,28789.90030931
2015-05-25,36091.81068273,4747.890007156,3472.500012197,32619.37031782
2015-05-26,30902.42062979,5405.079954029,2531.619999517,28370.84036273
2015-05-27,35500.29073947,3566.7600184149996,3615.860001254,31884.44039902
2015-05-28,35197.91055879,4049.0000350779997,4109.830000364,31088.14025301
2015-05-29,37743.8708007,5705.220033195,3787.699994426,33956.22033347
2015-05-30,41780.52091079,6363.400053331,4139.640008185,37640.92051868
2015-05-31,31249.87058513,3076.899968519,3296.199998615,27953.72024774
2015-06-01,37639.59066086,4521.650059107,3403.590008852,34236.03035707
2015-06-02,36395.0206226,2563.15001714,3747.840009159,32647.22037359
2015-06-03,33124.46068399,2905.619994193,3710.300002978,29414.20043334
2015-06-04,34009.610618681,7431.239985263,3320.369992759,30689.290161621
2015-06-05,28250.56054483,4099.160009327,2837.78000109,25412.84020393
2015-06-06,33899.39065626,2278.159995085,3062.80000242,30836.63044582
2015-06-07,32717.12069133,2933.28998996,3281.050011862,29436.10033583
2015-06-08,41056.00076132,4383.179968824,4392.310011186,36663.74025712
2015-06-09,34560.5407438,3539.950006162,3618.689993592,30941.91037012
2015-06-10,33341.64064466,2561.5100071889997,3554.839987369,29786.82036618
2015-06-11,30810.63062701,5502.040011646,3150.240003835,27660.43035895
2015-06-12,29999.590637441,2963.770042308,3437.300008351,26562.330334719998
2015-06-13,35050.30070884,3485.8400704819996,3322.790010693,31727.55035
2015-06-14,32270.36055959,5118.290020394,2837.710001067,29432.69028826
2015-06-15,32883.65060282,4325.260017237,3650.950004334,29232.73026489
2015-06-16,35532.59072316,2206.06005839,3441.3400085050002,32091.30039
2015-06-17,32805.1605835,3429.7800147059997,3055.550009563,29749.64028941
2015-06-18,29245.200529089998,4365.349998668999,3186.4499944540003,26058.79027191
2015-06-19,33857.110664499996,2262.960035859,3315.1000058619998,30542.040378449998
2015-06-20,36557.6906765,2323.860001767,4174.93999589,32382.78034806
2015-06-21,37072.47072085,4303.539969671,3802.340011714,33270.2304105
2015-06-22,32080.66058976,2620.300042606,2881.060005549,29199.61034421
2015-06-23,31579.41058361,4520.690005433,3233.690000492,28345.76033403
2015-06-24,32606.69067398,2098.0100669549997,3229.439994803,29377.290367139998
2015-06-25,39761.11084055,3050.240016676,4369.85000985,35391.30052163
2015-06-26,33478.0906449,4483.889978778,3174.260011673,30303.85044516
2015-06-27,34897.97064813,3054.369955347,3783.039996173,31115.00026543
2015-06-28,29411.13056177,3036.580050446,2884.329997545,26526.83024607
2015-06-29,37251.34073696,5269.189973537,3833.140010706,33418.250305659996
2015-06-30,41861.070890741,4510.229949985,4072.270001377,37788.870456482
2015-07-01,33470.82056814,3846.230021593,3165.580005766,30305.27026759
2015-07-02,35616.90072306,3415.040020031,3720.189998041,31896.75038336
2015-07-03,37560.45075642,4441.769999312,4134.119998074,33426.3703723
2015-07-04,31927.430630079998,2936.519987306,3160.939999931,28766.53038413
2015-07-05,34764.72063649,3840.729961105,3626.580012436,31138.20025675
2015-07-06,30801.14067483,5155.080028661,3073.910005686,27727.27040882
2015-07-07,35538.26071781,320.8099930949999,3420.840002631,32117.47042291
2015-07-08,30825.360561751,3566.800028437,3091.49000609,27733.900263110998
2015-07-09,33994.640593241,2811.150031007,3336.039994045,30658.660335843
2015-07-10,34977.000725,6214.189991353,3749.79999553,31227.23030457
2015-07-11,37512.74072326,3609.739974442,3709.280011529,33803.52040955
2015-07-12,33988.11073885,4640.510046868,3713.390003976,30274.77026589
2015-07-13,28077.590584319998,3595.679997782,2824.320003513,25253.29030426
2015-07-14,44848.2208675,7004.529987129,3999.310018367,40848.98051492
2015-07-15,33115.75062588,2646.129919917,3644.889997233,29470.89025714
2015-07-16,34320.470758999996,4207.829973265,3388.97000294,30931.5603723
2015-07-17,34444.350674119996,1784.350007561,3690.250003124,30754.140309
2015-07-18,32033.19051393,4827.959966685,3368.5099939350002,28664.70030757
2015-07-19,33316.15066556,6472.699966033,3192.72999822,30123.48030248
2015-07-20,31637.56061588,3693.8599578609997,3542.110010258,28095.48028952
2015-07-21,34973.260574679996,4205.420071692,3451.710009423,31521.60021638
2015-07-22,27354.87055977,2585.960024685,2618.190004231,24736.700391719998
2015-07-23,31025.77059958,2791.629949676,2826.419998215,28199.39031982
2015-07-24,31738.48059686,2607.109992585,3395.999998802,28342.530292299998
2015-07-25,31012.08064475,2735.849972457,3305.990006261,27706.14029099
2015-07-26,34877.68072722,3108.52998735,3119.959997884,31757.75044623
2015-07-27,28559.45039206,4002.450009563,3223.320008806,25336.15019987
2015-07-28,37259.62067804,4033.500011429,3781.12001062,33478.54028506
2015-07-29,32077.64062524,2067.420044459,3337.820003861,28739.8602984
2015-07-30,31942.31061004,3679.649953186,3182.569993897,28759.7603897
2015-07-31,34489.16073251,4774.930002143,3349.320003177,31139.90036417
2015-08-01,31025.19062104,2316.800015472,3201.250004765,27823.98028577
2015-08-02,37345.79079102,5471.61002108,4020.1999999180002,33325.6204396
2015-08-03,33286.84064892,3789.930035285,2994.630001872,30292.2703832
2015-08-04,37221.39077418,5903.170044871,3900.270004911,33321.17039505
2015-08-05,33144.18059364,2356.849979605,3886.090012413,29258.12028085
2015-08-06,34768.22074019,1778.390056043,3410.169996248,31358.090302149998
2015-08-07,34600.75066553,6465.249963599,3428.040003294,31172.76034187
2015-08-08,24152.85044473,4479.310020598,2240.959997864,21911.91027439
2015-08-09,28626.51057677,2563.280003748,2699.430003822,25927.12022612
2015-08-10,35151.99070969,7273.200033756,3672.010007028,31480.01029983
2015-08-11,30227.33059143,3231.659967083,3125.730000991,27101.64025879
2015-08-12,34366.700724011,4877.870001855,3604.50000499,30762.230395612
2015-08-13,33031.17065631,4116.439982459,3750.729992362,29280.49030696
2015-08-14,30948.66066971,2721.079988497,3066.350013137,27882.36029069
2015-08-15,33908.35075251,3709.629956833,3470.910001279,30437.48048418
2015-08-16,35620.85068341,4340.160005357,3239.390006096,32381.49043316
2015-08-17,36599.670667831,7009.370013202,3633.039997045,32966.68029605
2015-08-18,28977.54060358,2419.439991488,2919.949999924,26057.63020118
2015-08-19,33696.57067926,1904.910025999,3380.270002598,30316.33036062
2015-08-20,31590.72067709,1512.740083064,3457.390007616,28133.38035986
2015-08-21,36573.04067827,5738.55995528,3636.780005814,32936.3204671
2015-08-22,35628.99077465,3819.829994912,3332.119996002,32296.88050688
2015-08-23,30628.82059132,2878.7100575709997,3314.960013983,27313.90027923
2015-08-24,24407.24048837,4051.220032049,2314.290007241,22092.98020566
2015-08-25,37450.47086045,3074.329998726,3608.820002669,33841.68048111
2015-08-26,30048.17057247,3373.699988007,3167.770001691,26880.4302426
2015-08-27,31003.33060677,4540.76999085,3513.779993693,27489.6002335
2015-08-28,35822.96063811,2630.2800428819996,3724.360010505,32098.62041306
2015-08-29,38115.76079774,3040.4200413089998,4003.620008464,34112.18031859
2015-08-30,35451.92064907,1288.860019113,3326.939999014,32125.04037891
2015-08-31,36072.70071069,5301.999990938,3258.259999511,32814.47039319
2015-09-01,34701.89066193,6007.970034321,3683.590014139,31018.37031372
2015-09-02,34307.48075506,2717.590011947,3476.899993286,30830.61035552
2015-09-03,35013.030623201,4934.339991707,3525.290003401,31487.770391081
2015-09-04,39918.68093517,5943.389970415,3959.84000087,35958.87058272
2015-09-05,35725.06074161,2644.9000014460003,3636.670004847,32088.47039445
2015-09-06,36282.38064969,3132.889921404,3648.490003953,32633.940252289998
2015-09-07,33133.09067367,2220.210038699,3371.130006916,29762.030321
2015-09-08,33425.01068324,3950.420003765,3514.949997664,29910.08044218
2015-09-09,33320.230680579996,2858.069985249,3492.940005448,29827.31031799
